recd,NetID,Brand,Age.f,Status.i,PHI.i,Status.f,PHI.f,Damage_related
403,J428,Dawaplus 2.0,6,New,0,Not used last night,NA,No
404,J429,Dawaplus 2.0,6,New,0,Not in use,NA,No
405,J430,Dawaplus 2.0,6,New,0,Used last night,24,No
406,J431,Dawaplus 2.0,6,New,0,Used last night,NA,No
407,J432,Dawaplus 2.0,6,New,0,Used last night,NA,No
408,J433,Dawaplus 2.0,6,New,0,Used last night,NA,No
409,J434,Dawaplus 2.0,6,New,0,Used last night,NA,No
410,J435,Dawaplus 2.0,6,New,0,Used last night,NA,No
411,J436,Dawaplus 2.0,6,New,0,Used last night,NA,No
412,J437,Dawaplus 2.0,6,New,0,Used last night,NA,No
413,J438,Dawaplus 2.0,6,New,0,Used last night,NA,No
414,J439,Dawaplus 2.0,6,New,0,Used last night,NA,No
415,J440,Dawaplus 2.0,6,New,0,Used last night,NA,No
416,J441,Dawaplus 2.0,6,New,0,Used last night,NA,No
417,J442,Dawaplus 2.0,6,New,0,Used last night,NA,No
418,J443,Dawaplus 2.0,6,New,0,Used last night,NA,No
420,J445,Dawaplus 2.0,6,New,0,Used last night,0,No
421,J446,Dawaplus 2.0,6,New,0,Not in use,NA,No
422,J447,Dawaplus 2.0,6,New,0,Used last night,NA,No
423,J448,Dawaplus 2.0,6,New,0,Used last night,NA,No
424,J449,Dawaplus 2.0,6,New,0,Not in use,NA,No
425,J450,Dawaplus 2.0,6,New,0,Used last night,NA,No
426,J451,Dawaplus 2.0,6,New,0,Not used last night,NA,No
427,J452,Dawaplus 2.0,6,New,0,Not used last night,NA,No
428,J453,Dawaplus 2.0,6,New,0,Used last night,NA,No
429,J454,Dawaplus 2.0,6,New,0,Not used last night,NA,No
430,J455,Dawaplus 2.0,6,New,0,Not used last night,NA,No
431,J456,Dawaplus 2.0,6,New,0,Not in use,NA,No
432,J457,Dawaplus 2.0,6,New,0,Used last night,NA,No
433,J458,Dawaplus 2.0,6,New,0,Used last night,NA,No
434,J459,Dawaplus 2.0,6,New,0,Not used last night,NA,No
435,J460,Dawaplus 2.0,6,New,0,Used last night,NA,No
436,J461,Dawaplus 2.0,6,New,0,Used last night,NA,No
437,J462,Dawaplus 2.0,6,New,0,Used last night,NA,No
438,J463,Dawaplus 2.0,6,New,0,Not used last night,NA,No
439,J464,Dawaplus 2.0,6,New,0,Attrited,NA,NA
440,J465,Dawaplus 2.0,6,New,0,Used last night,NA,No
441,J466,Dawaplus 2.0,6,New,0,Used last night,NA,No
442,J467,Dawaplus 2.0,6,New,0,Used last night,NA,No
443,J468,Dawaplus 2.0,6,New,0,Used last night,NA,No
444,J469,Dawaplus 2.0,6,New,0,Not in use,NA,No
445,J470,Dawaplus 2.0,6,New,0,Used last night,0,No
446,J471,Dawaplus 2.0,6,New,0,Not in use,NA,No
447,J472,Dawaplus 2.0,6,New,0,Not used last night,NA,No
